"","sample","lakenames","limnion","filter","quadrant","trophicstate","Phylum","abundPerPhylum","PercentPhyla","MeanAbund_PhylumQuad","SEAbund_PhylumQuad","MeanAbunTrophicstate","MeanAbund_PhylumLake","SEAbund_PhylumTrophicstate","SEAbund_PhylumLake"
"62","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Lentisphaerae",11,0.0013,5.10526315789474,2.4778489266237,284.521739130435,311.375,93.0256216472993,120.167879220816
"63","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","NPL-UPA2",0,0,0.315789473684211,0.315789473684211,24.7391304347826,42.625,7.21527184461658,14.8527745123356
"64","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Planctomycetes",362,0.0426,1054.52631578947,108.01489956843,352.391304347826,287.25,49.2122024108676,35.6384373154283
"65","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Proteobacteria",996,0.1172,1253.31578947368,58.4893178946978,1842.65217391304,1944.5,115.27102637062,229.699337644421
"66","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Spirochaetae",0,0,0.315789473684211,0.315789473684211,55.1304347826087,81.625,11.4655876857468,23.0921581463739
"67","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Tenericutes",0,0,0,0,3,7.625,1.47575933425753,3.80759344693507
"68","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Thermotogae",0,0,0,0,0.521739130434783,0,0.381745342850581,0
"69","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","TM6",5,6e-04,9.36842105263158,3.75040779561712,7.8695652173913,14,2.07021446620187,4.40373218337096
"70","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","unclassified",195,0.0229,195.894736842105,21.9735213776927,309.434782608696,255,41.3270875619321,30.2702116656906
"71","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Verrucomicrobia",2687,0.3161,948.315789473684,137.106460804503,1030.73913043478,1434,129.576540741901,257.01653643297
"72","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","WCHB1-60",0,0,0,0,0,0,0,0
"73","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Acidobacteria",11,0.0013,12.8421052631579,7.3573224685219,59.8260869565217,71.75,17.9900776531964,35.0207846448771
"74","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria",1907,0.2244,1831.15789473684,70.7080838227315,702.565217391304,703.375,146.662162217904,276.285174716012
"75","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Armatimonadetes",0,0,26.1578947368421,10.8776457177993,30.3913043478261,7.375,8.19879947117363,3.33775748070467
"76","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes",1962,0.2308,1865.73684210526,141.193986297921,2359.30434782609,1887.125,186.829702367926,28.7435940068143
"77","BAKE2","Baker","Top","Free","Free Top","Eutrophic","BD1-5",0,0,0,0,5.08695652173913,3.875,1.19272008431099,1.57477322630457
"78","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_BRC1",0,0,0.210526315789474,0.210526315789474,5.17391304347826,5.25,1.77337820349206,2.23407059614763
"79","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OD1",7,8e-04,10.3684210526316,1.89830722732968,24.8695652173913,37.25,6.9924590515959,14.7354649933902
"80","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP11",0,0,0,0,0,0,0,0
"81","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP3",5,6e-04,4.26315789473684,1.05365447376118,9.1304347826087,12.25,2.92886975720133,6.05849462679114
"82","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP8",0,0,0,0,0,0,0,0
"83","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_SR1",0,0,0,0,10.7826086956522,11.625,3.64857247613274,4.90967521474544
"84","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_TM7",0,0,0,0,0.521739130434783,0,0.360443102456221,0
"85","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_WS3",0,0,0,0,4.52173913043478,4.875,1.90263969452531,2.72185270410747
"86","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Chlamydiae",104,0.0122,28.0526315789474,10.2889464575295,15.695652173913,38,8.47559499995112,23.0465367711259
"87","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Chlorobi",0,0,53.6315789473684,27.4732416894298,108.608695652174,114.875,27.145249704934,46.9918068466651
"88","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi",11,0.0013,19.3684210526316,5.97275026833774,328.652173913043,468.75,73.8942094116162,154.548391635574
"89","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Cyanobacteria",226,0.0266,842.473684210526,131.673003809767,750.04347826087,613.125,161.715585965343,256.795182246474
"90","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Deferribacteres",0,0,0,0,0.260869565217391,0.25,0.190872671425291,0.25
"91","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Deinococcus-Thermus",0,0,0.894736842105263,0.670579468547944,46.7826086956522,31.25,15.8906784669901,11.5661914956603
"92","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Dictyoglomi",0,0,0,0,0.173913043478261,0,0.173913043478261,0
"93","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Elusimicrobia",0,0,0,0,1.95652173913043,0,1.07519326485832,0
"94","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Fibrobacteres",0,0,0,0,4.60869565217391,1.75,2.43308806079844,1.37256277504112
"95","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Firmicutes",0,0,0.473684210526316,0.473684210526316,119.869565217391,108.75,33.4551971271063,41.0503828066369
"96","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Fusobacteria",0,0,0,0,0,0,0,0
"97","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Gemmatimonadetes",0,0,0,0,0.173913043478261,0.5,0.173913043478261,0.5
"98","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae",9,0.0011,2.15789473684211,1.226565494242,284.521739130435,311.375,93.0256216472993,120.167879220816
"99","BAKE2","Baker","Top","Free","Free Top","Eutrophic","NPL-UPA2",9,0.0011,11.8947368421053,2.21490793815798,24.7391304347826,42.625,7.21527184461658,14.8527745123356
"100","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes",113,0.0133,355.684210526316,38.2972410280442,352.391304347826,287.25,49.2122024108676,35.6384373154283
"101","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria",2367,0.2785,1989.57894736842,115.644856525805,1842.65217391304,1944.5,115.27102637062,229.699337644421
"102","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Spirochaetae",45,0.0053,15.5789473684211,3.82230739953909,55.1304347826087,81.625,11.4655876857468,23.0921581463739
"103","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Tenericutes",0,0,0,0,3,7.625,1.47575933425753,3.80759344693507
"104","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Thermotogae",0,0,0,0,0.521739130434783,0,0.381745342850581,0
"105","BAKE2","Baker","Top","Free","Free Top","Eutrophic","TM6",32,0.0038,9.73684210526316,2.86728074335041,7.8695652173913,14,2.07021446620187,4.40373218337096
"106","BAKE2","Baker","Top","Free","Free Top","Eutrophic","unclassified",155,0.0182,173.052631578947,16.0128737835608,309.434782608696,255,41.3270875619321,30.2702116656906
"107","BAKE2","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia",1537,0.1808,1246.31578947368,75.4881599728799,1030.73913043478,1434,129.576540741901,257.01653643297
"108","BAKE2","Baker","Top","Free","Free Top","Eutrophic","WCHB1-60",0,0,0.368421052631579,0.368421052631579,0,0,0,0
"109","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Acidobacteria",270,0.0318,50.3157894736842,21.827078604765,59.8260869565217,71.75,17.9900776531964,35.0207846448771
"110","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria",113,0.0133,99.8947368421053,12.7141066234712,702.565217391304,703.375,146.662162217904,276.285174716012
"111","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Armatimonadetes",20,0.0024,43.5789473684211,13.1104876971736,30.3913043478261,7.375,8.19879947117363,3.33775748070467
"112","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes",1919,0.2258,1931.94736842105,187.826526187527,2359.30434782609,1887.125,186.829702367926,28.7435940068143
"113","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","BD1-5",0,0,0,0,5.08695652173913,3.875,1.19272008431099,1.57477322630457
"114","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_BRC1",0,0,0,0,5.17391304347826,5.25,1.77337820349206,2.23407059614763
"115","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OD1",0,0,0.315789473684211,0.315789473684211,24.8695652173913,37.25,6.9924590515959,14.7354649933902
"116","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP11",0,0,0,0,0,0,0,0
"117","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP3",0,0,0.421052631578947,0.299275826477754,9.1304347826087,12.25,2.92886975720133,6.05849462679114
"118","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP8",0,0,0,0,0,0,0,0
"119","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_SR1",0,0,0.947368421052632,0.537884551465119,10.7826086956522,11.625,3.64857247613274,4.90967521474544
"120","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_TM7",0,0,0,0,0.521739130434783,0,0.360443102456221,0
"121","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_WS3",0,0,0,0,4.52173913043478,4.875,1.90263969452531,2.72185270410747
"122","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Chlamydiae",2,2e-04,1.68421052631579,0.741630224135026,15.695652173913,38,8.47559499995112,23.0465367711259
"123","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Chlorobi",6,7e-04,25.3684210526316,16.145575050804,108.608695652174,114.875,27.145249704934,46.9918068466651
"124","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi",595,0.07,96,38.9873273757824,328.652173913043,468.75,73.8942094116162,154.548391635574
"125","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Cyanobacteria",1936,0.2278,2768.73684210526,206.809314693247,750.04347826087,613.125,161.715585965343,256.795182246474
"126","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Deferribacteres",0,0,0,0,0.260869565217391,0.25,0.190872671425291,0.25
"127","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Deinococcus-Thermus",0,0,1.10526315789474,0.657368210357726,46.7826086956522,31.25,15.8906784669901,11.5661914956603
"128","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Dictyoglomi",0,0,0,0,0.173913043478261,0,0.173913043478261,0
"129","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Elusimicrobia",0,0,0,0,1.95652173913043,0,1.07519326485832,0
"130","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Fibrobacteres",0,0,0,0,4.60869565217391,1.75,2.43308806079844,1.37256277504112
"131","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Firmicutes",0,0,5.15789473684211,2.73515467547991,119.869565217391,108.75,33.4551971271063,41.0503828066369
"132","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Fusobacteria",0,0,2.15789473684211,1.34699830442839,0,0,0,0
"133","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Gemmatimonadetes",4,5e-04,5.21052631578947,3.18951035433342,0.173913043478261,0.5,0.173913043478261,0.5
"134","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Lentisphaerae",4,5e-04,5.10526315789474,2.4778489266237,284.521739130435,311.375,93.0256216472993,120.167879220816
"135","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","NPL-UPA2",0,0,0.315789473684211,0.315789473684211,24.7391304347826,42.625,7.21527184461658,14.8527745123356
"136","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Planctomycetes",332,0.0391,1054.52631578947,108.01489956843,352.391304347826,287.25,49.2122024108676,35.6384373154283
"137","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Proteobacteria",848,0.0998,1253.31578947368,58.4893178946978,1842.65217391304,1944.5,115.27102637062,229.699337644421
"138","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Spirochaetae",0,0,0.315789473684211,0.315789473684211,55.1304347826087,81.625,11.4655876857468,23.0921581463739
"139","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Tenericutes",0,0,0,0,3,7.625,1.47575933425753,3.80759344693507
"140","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Thermotogae",0,0,0,0,0.521739130434783,0,0.381745342850581,0
"141","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","TM6",9,0.0011,9.36842105263158,3.75040779561712,7.8695652173913,14,2.07021446620187,4.40373218337096
"142","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","unclassified",169,0.0199,195.894736842105,21.9735213776927,309.434782608696,255,41.3270875619321,30.2702116656906
"143","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","Verrucomicrobia",2273,0.2674,948.315789473684,137.106460804503,1030.73913043478,1434,129.576540741901,257.01653643297
"144","BAKE23um","Baker","Top","Particle","Particle Top","Eutrophic","WCHB1-60",0,0,0,0,0,0,0,0
"145","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Acidobacteria",27,0.0032,29.5,7.62837500803139,59.8260869565217,71.75,17.9900776531964,35.0207846448771
"146","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Actinobacteria",702,0.0826,1115.75,115.321903588904,702.565217391304,703.375,146.662162217904,276.285174716012
"147","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Armatimonadetes",0,0,72,21.6732918345914,30.3913043478261,7.375,8.19879947117363,3.33775748070467
"148","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Bacteroidetes",2009,0.2364,2025.05,156.431630853798,2359.30434782609,1887.125,186.829702367926,28.7435940068143
"149","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","BD1-5",11,0.0013,8.7,2.28277301359091,5.08695652173913,3.875,1.19272008431099,1.57477322630457
"150","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_BRC1",9,0.0011,4.15,1.2717062719454,5.17391304347826,5.25,1.77337820349206,2.23407059614763
"151","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_OD1",87,0.0102,66.65,11.4419070456854,24.8695652173913,37.25,6.9924590515959,14.7354649933902
"152","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_OP11",0,0,0,0,0,0,0,0
"153","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_OP3",33,0.0039,35.3,6.80058047058059,9.1304347826087,12.25,2.92886975720133,6.05849462679114
"154","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_OP8",0,0,0,0,0,0,0,0
"155","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_SR1",25,0.0029,14.75,4.12111060656942,10.7826086956522,11.625,3.64857247613274,4.90967521474544
"156","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_TM7",0,0,1.1,0.512475930115131,0.521739130434783,0,0.360443102456221,0
"157","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Candidate_division_WS3",6,7e-04,0.95,0.577995629194911,4.52173913043478,4.875,1.90263969452531,2.72185270410747
"158","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Chlamydiae",8,9e-04,6.5,3.70809924354783,15.695652173913,38,8.47559499995112,23.0465367711259
"159","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Chlorobi",225,0.0265,124.3,44.975847319481,108.608695652174,114.875,27.145249704934,46.9918068466651
"160","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Chloroflexi",218,0.0256,136.55,24.9066124172932,328.652173913043,468.75,73.8942094116162,154.548391635574
"161","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Cyanobacteria",79,0.0093,279.85,60.7166965244496,750.04347826087,613.125,161.715585965343,256.795182246474
"162","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Deferribacteres",2,2e-04,1.45,0.65484027783398,0.260869565217391,0.25,0.190872671425291,0.25
"163","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Deinococcus-Thermus",73,0.0086,37.65,15.0955334976591,46.7826086956522,31.25,15.8906784669901,11.5661914956603
"164","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Dictyoglomi",0,0,0,0,0.173913043478261,0,0.173913043478261,0
"165","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Elusimicrobia",0,0,1.7,1.12413709596575,1.95652173913043,0,1.07519326485832,0
"166","BAKH1","Baker","Bottom","Free","Free Bottom","Eutrophic","Fibrobacteres",11,0.0013,18.25,5.10359780217013,4.60869565217391,1.75,2.43308806079844,1.37256277504112
