"","sample","lakenames","limnion","filter","quadrant","trophicstate","Phylum","Class","AbundPerClass","PercentClass","MeanClassQuad","SEClassQuad","MeanClassTrophicState","SEClassTrophicState","MeanClassLake","SEClassLake"
"48","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Deferribacteres","Deferribacteres",0,0,0,0,0.260869565217391,0.190872671425291,0.25,0.25
"49","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Deinococcus-Thermus","Deinococci",0,0,0.894736842105263,0.670579468547944,46.7826086956522,15.8906784669901,31.25,11.5661914956603
"50","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Dictyoglomi","Dictyoglomia",0,0,0,0,0.173913043478261,0.173913043478261,0,0
"51","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Elusimicrobia","Elusimicrobia",0,0,0,0,1.95652173913043,1.07519326485832,0,0
"52","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Fibrobacteres","Fibrobacteria",0,0,0,0,4.60869565217391,2.43308806079844,1.75,1.37256277504112
"53","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Firmicutes","Bacilli",0,0,0,0,0,0,0,0
"54","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Firmicutes","Clostridia",0,0,0,0,89.6521739130435,26.4910014325584,77.75,30.7946829826189
"55","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Firmicutes","Negativicutes",0,0,0,0,3.17391304347826,1.37402811345813,1.625,0.998883305067643
"56","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Firmicutes","unclassified",9,0.0011,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"57","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Fusobacteria","Fusobacteriia",0,0,0,0,0,0,0,0
"58","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Gemmatimonadetes","Gemmatimonadetes",0,0,0,0,0.173913043478261,0.173913043478261,0.5,0.5
"59","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","BS5",0,0,0,0,0.826086956521739,0.460503994021825,0,0
"60","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","Lentisphaeria",4,5e-04,0.473684210526316,0.327746345478411,154.95652173913,56.8623773122464,161.875,66.8402780354566
"61","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","MSBL3",0,0,0,0,0.739130434782609,0.616689463574325,0,0
"62","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","Oligosphaeria",0,0,0,0,10.0869565217391,3.59012316802281,8.125,4.05954562904344
"63","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","PBS-III-20",0,0,0,0,0.434782608695652,0.325625496936322,0.875,0.875
"64","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","RFP12_gut_group",0,0,0.0526315789473684,0.0526315789473684,29.5652173913043,10.8820165837349,30.875,11.9663777488667
"65","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"66","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae","WCHB1-41",7,8e-04,0.894736842105263,0.500845699074393,63.6086956521739,19.8390499193213,57.75,20.6438766431391
"67","BAKE1","Baker","Top","Free","Free Top","Eutrophic","NPL-UPA2","unclassified",17,0.002,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"68","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes","OM190",6,7e-04,7.36842105263158,3.13927257778553,6.52173913043478,3.61751862044119,3.625,2.13756787695068
"69","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes","Phycisphaerae",54,0.0064,68.2631578947368,13.9472360139362,52.0869565217391,10.7765506378484,89,16.3707055437449
"70","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes","Planctomycetacia",102,0.012,269.210526315789,28.6544832277418,285.04347826087,42.6148983143613,183.25,23.5043688948003
"71","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes","unclassified",12,0.0014,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"72","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes","vadinHA49",0,0,3.36842105263158,2.39420661182203,3.8695652173913,1.74829600589082,3,2.10441712323661
"73","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","Alphaproteobacteria",329,0.0387,262.421052631579,20.9882055140185,295,53.991618438977,215.875,61.1737681585358
"74","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","Betaproteobacteria",1697,0.1996,1315.47368421053,97.2766708544283,781.695652173913,107.963843215349,1089.25,211.268426922448
"75","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","Deltaproteobacteria",286,0.0336,216.894736842105,24.4811533593925,320.521739130435,34.271461615832,377,67.1466944192234
"76","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","Epsilonproteobacteria",0,0,0.368421052631579,0.368421052631579,7.91304347826087,3.28784625221055,10.125,5.80159306939543
"77","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","Gammaproteobacteria",64,0.0075,90.8947368421053,19.8098998726392,363.565217391304,86.8415217823942,209.125,75.062934904176
"78","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","SPOTSOCT00m83",0,0,0.947368421052632,0.655492690956821,1.17391304347826,0.649268892307308,0,0
"79","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","TA18",0,0,13.1578947368421,3.50126389702025,4.34782608695652,2.20456649288473,0,0
"80","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria","unclassified",65,0.0076,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"81","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Spirochaetae","Spirochaetes",56,0.0066,15.5789473684211,3.82230739953909,55.1304347826087,11.4655876857468,81.625,23.0921581463739
"82","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Tenericutes","Mollicutes",0,0,0,0,3,1.47575933425753,7.625,3.80759344693507
"83","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Thermotogae","Thermotogae",0,0,0,0,0.521739130434783,0.381745342850581,0,0
"84","BAKE1","Baker","Top","Free","Free Top","Eutrophic","TM6","unclassified",35,0.0041,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"85","BAKE1","Baker","Top","Free","Free Top","Eutrophic","unclassified","unclassified",209,0.0246,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"86","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","OPB35_soil_group",144,0.0169,133.894736842105,25.3041030277703,120.391304347826,18.6727316066475,120.75,8.51836251870041
"87","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","Opitutae",75,0.0088,192.736842105263,65.6936378000123,155.391304347826,54.5579700082824,41.75,13.692737908416
"88","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","S-BQ2-57_soil_group",0,0,0,0,0,0,0,0
"89","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","Spartobacteria",557,0.0655,556.684210526316,90.4159023375109,343.565217391304,64.4696768531166,486.125,67.1526612332995
"90","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"91","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","Verrucomicrobia_Incertae_Sedis",92,0.0108,134.842105263158,42.0505309475415,8.39130434782609,4.40837288618996,17.625,11.6602767364857
"92","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia","Verrucomicrobiae",562,0.0661,226.684210526316,37.7031381131131,402.521739130435,120.404438180074,767.75,300.972753275584
"93","BAKE1","Baker","Top","Free","Free Top","Eutrophic","WCHB1-60","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"94","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Acidobacteria","Acidobacteria",184,0.0216,50.3157894736842,21.827078604765,52.5217391304348,18.060271246329,64.375,36.453952117706
"95","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Acidobacteria","Holophagae",0,0,0,0,7.30434782608696,2.4826948753931,7.375,2.89665755656412
"96","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria","Acidimicrobiia",10,0.0012,4.78947368421053,1.03894612417494,25.5652173913043,9.7299151772027,15.75,6.41357377531658
"97","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria","Actinobacteria",102,0.012,95.1052631578947,12.3534437126042,675.913043478261,141.745093717762,687.625,272.709548362094
"98","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria","OPB41",0,0,0,0,0.91304347826087,0.494687362756111,0,0
"99","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria","Thermoleophilia",0,0,0,0,0.173913043478261,0.173913043478261,0,0
"100","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"101","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Armatimonadetes","Armatimonadia",7,8e-04,27.9473684210526,11.0766794917355,16.0869565217391,6.31232968884742,2.125,1.41972708645007
"102","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Armatimonadetes","Chthonomonadetes",0,0,0,0,0.434782608695652,0.242076711427392,0.5,0.5
"103","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Armatimonadetes","unclassified",12,0.0014,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"104","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","Bacteroidia",30,0.0035,7.36842105263158,2.88797722196614,175.347826086957,35.4098872268968,216.125,74.4360793615185
"105","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","BD2-2",0,0,0,0,5.82608695652174,1.84760519488825,10.625,4.19156252829078
"106","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","BSV13",12,0.0014,1.68421052631579,1.02897391569229,120.434782608696,25.7711750371281,102.5,36.9855184015118
"107","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","Cytophagia",246,0.0289,159.578947368421,22.2486369632404,153.782608695652,35.3810961183584,179.5,76.1546828125869
"108","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","Flavobacteriia",68,0.008,220.894736842105,45.5611468015926,430.521739130435,93.3451004865427,143.375,46.5237794420383
"109","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","SB-1",0,0,0.736842105263158,0.512088404186892,21.8695652173913,7.49025832359961,13.125,5.92041715470407
"110","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","SB-5",0,0,0,0,11,3.59622111724386,11,4.50396650583841
"111","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","SM1A07",0,0,0.526315789473684,0.392684724308761,0,0,0,0
"112","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","Sphingobacteriia",1402,0.1649,1317.10526315789,117.23038981726,1317.60869565217,108.32785362076,1061.875,91.8648925441208
"113","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","unclassified",140,0.0165,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"114","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","vadinHA17",5,6e-04,0.631578947368421,0.440696725862473,34.304347826087,9.88479784263481,34.375,12.8853980203507
"115","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","VC2.1_Bac22",0,0,5.78947368421053,2.52424378968372,0.521739130434783,0.360443102456221,0,0
"116","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes","WCHB1-32",0,0,0,0,15.1304347826087,3.9519367082923,6.375,2.71857039636644
"117","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","BD1-5","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"118","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_BRC1","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"119","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OD1","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"120","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP11","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"121","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP3","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"122","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP8","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"123","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_SR1","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"124","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_TM7","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"125","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_WS3","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"126","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_WS3","Unknown_Class",0,0,0,0,0.608695652173913,0.348566405822356,0,0
"127","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chlamydiae","Chlamydiae",10,0.0012,1.68421052631579,0.741630224135026,15.695652173913,8.47559499995112,38,23.0465367711259
"128","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chlorobi","Chlorobia",60,0.0071,23.4736842105263,16.2312182816553,105.913043478261,27.0485519432591,112,45.8713262444915
"129","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chlorobi","Ignavibacteria",0,0,1.89473684210526,1.47274406101402,2.69565217391304,0.948130639688325,2.875,1.70542726108654
"130","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","Anaerolineae",32,0.0038,7.26315789473684,1.85093955162268,95.1739130434783,29.9087315349762,100,46.917100141785
"131","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","Ardenticatenia",0,0,0,0,1.56521739130435,0.792320070861397,0.625,0.625
"132","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","Caldilineae",213,0.0251,74.5789473684211,35.453809484398,69.2608695652174,29.1235759726718,101.5,67.7893270149723
"133","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","Chloroflexia",113,0.0133,13.5789473684211,7.01098377588296,141.826086956522,44.9297938146716,256.75,112.852265943451
"134","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","Dehalococcoidia",0,0,0,0,10.9130434782609,5.91939033938738,0,0
"135","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","SL56_marine_group",0,0,0,0,5.65217391304348,1.96371099003395,8.25,4.03444986513474
"136","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"137","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Cyanobacteria","Cyanobacteria",1575,0.1853,2674.84210526316,219.820584245956,711.478260869565,164.139736929813,590.125,258.401227157358
"138","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Cyanobacteria","Melainabacteria",1,1e-04,22.0526315789474,11.2245745655089,33.3913043478261,11.3014286288549,17.125,5.90531691420053
"139","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Cyanobacteria","ML635J-21",1,1e-04,0.736842105263158,0.482695315515705,1.43478260869565,0.814459463214378,1.25,0.619619699032053
"140","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Cyanobacteria","unclassified",10,0.0012,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"141","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Deferribacteres","Deferribacteres",0,0,0,0,0.260869565217391,0.190872671425291,0.25,0.25
"142","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Deinococcus-Thermus","Deinococci",5,6e-04,1.10526315789474,0.657368210357726,46.7826086956522,15.8906784669901,31.25,11.5661914956603
"143","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Dictyoglomi","Dictyoglomia",0,0,0,0,0.173913043478261,0.173913043478261,0,0
"144","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Elusimicrobia","Elusimicrobia",0,0,0,0,1.95652173913043,1.07519326485832,0,0
"145","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Fibrobacteres","Fibrobacteria",0,0,0,0,4.60869565217391,2.43308806079844,1.75,1.37256277504112
"146","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Firmicutes","Bacilli",0,0,0.421052631578947,0.421052631578947,0,0,0,0
"147","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Firmicutes","Clostridia",6,7e-04,4.73684210526316,2.34812617250581,89.6521739130435,26.4910014325584,77.75,30.7946829826189
"148","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Firmicutes","Negativicutes",0,0,0,0,3.17391304347826,1.37402811345813,1.625,0.998883305067643
"149","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Firmicutes","unclassified",0,0,27.0755148741419,4.43887029785489,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"150","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Fusobacteria","Fusobacteriia",0,0,2.15789473684211,1.34699830442839,0,0,0,0
